,actual,prediction,,
6501,0.4321,0.5346275298,,0.1025275298
6502,0.5926,0.5596568364,,0.0329431636
6503,0.5185,0.5020460931,,0.0164539069
6504,0.4877,0.4845648396,,0.0031351604
6505,0.4074,0.4935320086,,0.0861320086
6506,0.4383,0.4995764334,,0.0612764334
6507,0.4383,0.5064189799,,0.0681189799
6508,0.5062,0.4871149623,,0.0190850377
6509,0.5062,0.4848371686,,0.0213628314
6510,0.5062,0.48523586,,0.02096414
6511,0.5185,0.5025479952,,0.0159520048
6512,0.4074,0.5028392436,,0.0954392436
6513,0.4877,0.4958974141,,0.0081974141
6514,0.4506,0.4820552717,,0.0314552717
6515,0.4506,0.4853366092,,0.0347366092
6516,0.4506,0.4849828942,,0.0343828942
6517,0.5432,0.5080867276,,0.0351132724
6518,0.4753,0.4853517693,,0.0100517693
6519,0.5432,0.5065878443,,0.0366121557
6520,0.4753,0.4853874488,,0.0100874488
6521,0.5432,0.5085779773,,0.0346220227
6522,0.4753,0.4866917258,,0.0113917258
6523,0.5432,0.5147655595,,0.0284344405
6524,0.4753,0.4855206664,,0.0102206664
6525,0.5432,0.5059146435,,0.0372853565
6526,0.5926,0.5085036632,,0.0840963368
6527,0.537,0.4406834966,,0.0963165034
6528,0.537,0.4880457484,,0.0489542516
6529,0.537,0.489264606,,0.047735394
6530,0.537,0.4896590887,,0.0473409113
6531,0.537,0.4880949343,,0.0489050657
6532,0.5432,0.5194805276,,0.0237194724
6533,0.6049,0.4846081094,,0.1202918906
6534,0.4383,0.4859965296,,0.0476965296
6535,0.4383,0.4878971272,,0.0495971272
6536,0.3951,0.4854815332,,0.0903815332
6537,0.4506,0.4848799668,,0.0342799668
6538,0.4877,0.4845279299,,0.0031720701
6539,0.4506,0.4869118597,,0.0363118597
6540,0.4877,0.4863665643,,0.0013334357
6541,0.4506,0.4868272249,,0.0362272249
6542,0.4877,0.4860272739,,0.0016727261
6543,0.4506,0.4851469768,,0.0345469768
6544,0.4877,0.4845591488,,0.0031408512
6545,0.4506,0.4851407492,,0.0345407492
6546,0.4877,0.484558418,,0.003141582
6547,0.4506,0.4970280335,,0.0464280335
6548,0.4877,0.486795442,,0.000904558
6549,0.4506,0.4864428367,,0.0358428367
6550,0.4877,0.4863120031,,0.0013879969
6551,0.4136,0.4969410979,,0.0833410979
6552,0.4691,0.4944392153,,0.0253392153
6553,0.5556,0.4983663348,,0.0572336652
6554,0.4753,0.5030350277,,0.0277350277
6555,0.5247,0.488446658,,0.036253342
6556,0.4753,0.4900141273,,0.0147141273
6557,0.4753,0.5017268336,,0.0264268336
6558,0.5926,0.4922350546,,0.1003649454
6559,0.4383,0.5053929691,,0.0670929691
6560,0.5247,0.5381039063,,0.0134039063
6561,0.5062,0.5074306573,,0.0012306573
6562,0.4383,0.528052364,,0.089752364
6563,0.4383,0.5074064819,,0.0691064819
6564,0.4506,0.4868443867,,0.0362443867
6565,0.4506,0.4846776673,,0.0340776673
6566,0.4506,0.4957412095,,0.0451412095
6567,0.4383,0.5072460055,,0.0689460055
6568,0.5926,0.5048544012,,0.0877455988
6569,0.5494,0.4945046632,,0.0548953368
6570,0.4074,0.5115780213,,0.1041780213
6571,0.4877,0.4950994354,,0.0073994354
6572,0.4074,0.4889664434,,0.0815664434
6573,0.4383,0.4796768358,,0.0413768358
6574,0.4506,0.4986214186,,0.0480214186
6575,0.5432,0.5012524643,,0.0419475357
6576,0.4691,0.5063820022,,0.0372820022
6577,0.5062,0.4987328216,,0.0074671784
6578,0.4691,0.5168527215,,0.0477527215
6579,0.5062,0.503806194,,0.002393806
6580,0.4691,0.4919978928,,0.0228978928
6581,0.4691,0.5196795336,,0.0505795336
6582,0.4506,0.4861244547,,0.0355244547
6583,0.4321,0.4921440263,,0.0600440263
6584,0.4383,0.4977142289,,0.0594142289
6585,0.4877,0.5195075004,,0.0318075004
6586,0.537,0.4910180701,,0.0459819299
6587,0.6049,0.4927814431,,0.1121185569
6588,0.537,0.4856300069,,0.0513699931
6589,0.6049,0.4852118764,,0.1196881236
6590,0.537,0.4877357642,,0.0492642358
6591,0.6049,0.4854219843,,0.1194780157
6592,0.4753,0.4862291722,,0.0109291722
6593,0.5123,0.5029686718,,0.0093313282
6594,0.5494,0.5027159511,,0.0466840489
6595,0.5432,0.502830161,,0.040369839
6596,0.4506,0.4860766494,,0.0354766494
6597,0.6049,0.498754437,,0.106145563
6598,0.5432,0.5156125053,,0.0275874947
6599,0.4321,0.5097861768,,0.0776861768
6600,0.5802,0.4954740507,,0.0847259493
6601,0.5802,0.4891162475,,0.0910837525
6602,0.5802,0.4962850743,,0.0839149257
6603,0.5494,0.4914134015,,0.0579865985
6604,0.4383,0.4847940365,,0.0464940365
6605,0.4074,0.4845304345,,0.0771304345
6606,0.5556,0.4866906565,,0.0689093435
6607,0.5556,0.5195908511,,0.0360091489
6608,0.4506,0.4954732998,,0.0448732998
6609,0.5185,0.5017407182,,0.0167592818
6610,0.5247,0.5015073155,,0.0231926845
6611,0.5926,0.4864377294,,0.1061622706
6612,0.5247,0.5038949745,,0.0208050255
6613,0.5926,0.4868155332,,0.1057844668
6614,0.5247,0.5106399602,,0.0140600398
6615,0.5926,0.4971544704,,0.0954455296
6616,0.4753,0.4846571595,,0.0093571595
6617,0.5123,0.526320512,,0.014020512
6618,0.5556,0.5463460153,,0.0092539847
6619,0.5556,0.5376621855,,0.0179378145
6620,0.3951,0.4864840713,,0.0913840713
6621,0.5494,0.490026198,,0.059373802
6622,0.5432,0.484539347,,0.058660653
6623,0.6049,0.5521268971,,0.0527731029
6624,0.6049,0.5454232718,,0.0594767282
6625,0.5432,0.4888490807,,0.0543509193
6626,0.5432,0.4889198527,,0.0542801473
6627,0.5432,0.4701449725,,0.0730550275
6628,0.4753,0.5031222011,,0.0278222011
6629,0.3951,0.4849376411,,0.0898376411
6630,0.6049,0.5472290993,,0.0576709007
6631,0.3951,0.4849084867,,0.0898084867
6632,0.6049,0.5471116303,,0.0577883697
6633,0.4877,0.4851082394,,0.0025917606
6634,0.4877,0.4957189942,,0.0080189942
6635,0.4877,0.4851107299,,0.0025892701
6636,0.4877,0.4851400143,,0.0025599857
6637,0.4877,0.4962410832,,0.0085410832
6638,0.4753,0.5014337124,,0.0261337124
6639,0.4506,0.5194805276,,0.0688805276
6640,0.537,0.516933052,,0.020066948
6641,0.4753,0.4993883314,,0.0240883314
6642,0.4383,0.5016629724,,0.0633629724
6643,0.5185,0.4983637985,,0.0201362015
6644,0.4383,0.4957259824,,0.0574259824
6645,0.5185,0.4939331011,,0.0245668989
6646,0.4877,0.4979766018,,0.0102766018
6647,0.4506,0.4847249551,,0.0341249551
6648,0.5802,0.4871092983,,0.0930907017
6649,0.4506,0.4846330147,,0.0340330147
6650,0.5802,0.4861389369,,0.0940610631
6651,0.4877,0.5046175013,,0.0169175013
6652,0.6049,0.5150491989,,0.0898508011
6653,0.5556,0.544508512,,0.011091488
6654,0.5556,0.545031525,,0.010568475
6655,0.4383,0.4971253501,,0.0588253501
6656,0.4136,0.4851534088,,0.0715534088
6657,0.4383,0.4910547328,,0.0527547328
6658,0.4136,0.484796262,,0.071196262
6659,0.4383,0.5019832179,,0.0636832179
6660,0.4136,0.4955846294,,0.0819846294
6661,0.4383,0.4924254422,,0.0541254422
6662,0.4136,0.4848705557,,0.0712705557
6663,0.4383,0.5034786285,,0.0651786285
6664,0.4136,0.4866872526,,0.0730872526
6665,0.4383,0.5019832179,,0.0636832179
6666,0.4136,0.4955846294,,0.0819846294
6667,0.5247,0.4973779398,,0.0273220602
6668,0.5556,0.4969037845,,0.0586962155
6669,0.4506,0.5007293054,,0.0501293054
6670,0.4321,0.4885258437,,0.0564258437
6671,0.4321,0.4887262582,,0.0566262582
6672,0.4753,0.505825813,,0.030525813
6673,0.4753,0.4870529923,,0.0117529923
6674,0.5926,0.4877968288,,0.1048031712
6675,0.5926,0.5235531527,,0.0690468473
6676,0.5556,0.4889941245,,0.0666058755
6677,0.4383,0.4859437136,,0.0476437136
6678,0.4506,0.485224312,,0.034624312
6679,0.4321,0.4872882694,,0.0551882694
6680,0.4506,0.4892543138,,0.0386543138
6681,0.4383,0.5188453709,,0.0805453709
6682,0.5123,0.5081901414,,0.0041098586
6683,0.4506,0.4922137404,,0.0416137404
6684,0.4506,0.4862222952,,0.0356222952
6685,0.5926,0.4889833665,,0.1036166335
6686,0.4877,0.4845083538,,0.0031916462
6687,0.5185,0.4880457461,,0.0304542539
6688,0.5185,0.4888181772,,0.0296818228
6689,0.5432,0.5366212319,,0.0065787681
6690,0.4383,0.511015228,,0.072715228
6691,0.5432,0.5312538713,,0.0119461287
6692,0.4383,0.5040997939,,0.0657997939
6693,0.4074,0.4865360532,,0.0791360532
6694,0.3951,0.4925995285,,0.0974995285
6695,0.5556,0.5088532884,,0.0467467116
6696,0.4691,0.501209314,,0.032109314
6697,0.4321,0.4965949746,,0.0644949746
6698,0.4074,0.4844827633,,0.0770827633
6699,0.537,0.4866478899,,0.0503521101
6700,0.3951,0.4851978384,,0.0900978384
6701,0.5432,0.4958013964,,0.0473986036
6702,0.5494,0.4944859092,,0.0549140908
6703,0.5926,0.5019187293,,0.0906812707
6704,0.4136,0.4957825776,,0.0821825776
6705,0.5247,0.4974805532,,0.0272194468
6706,0.5247,0.505255506,,0.019444494
6707,0.5556,0.50284678,,0.05275322
6708,0.4136,0.4858553443,,0.0722553443
6709,0.4136,0.4868522221,,0.0732522221
6710,0.4691,0.4952215022,,0.0261215022
6711,0.4691,0.4845420943,,0.0154420943
6712,0.5494,0.4922171742,,0.0571828258
6713,0.5494,0.492144834,,0.057255166
6714,0.5494,0.4918654775,,0.0575345225
6715,0.4753,0.5006221784,,0.0253221784
6716,0.4321,0.5152561911,,0.0831561911
6717,0.5185,0.5003038753,,0.0181961247
6718,0.5062,0.4941100447,,0.0120899553
6719,0.4136,0.4959499196,,0.0823499196
6720,0.4321,0.5024120316,,0.0703120316
6721,0.4506,0.4999985266,,0.0493985266
6722,0.5926,0.4868983853,,0.1057016147
6723,0.5926,0.4883709604,,0.1042290396
6724,0.5926,0.5090517603,,0.0835482397
6725,0.4753,0.4915157938,,0.0162157938
6726,0.4506,0.4955082922,,0.0449082922
6727,0.5556,0.5075501613,,0.0480498387
6728,0.4321,0.4859170482,,0.0538170482
6729,0.4321,0.4855320277,,0.0534320277
6730,0.5432,0.48467111,,0.05852889
6731,0.5494,0.4951872413,,0.0542127587
6732,0.5494,0.501984608,,0.047415392
6733,0.5494,0.4875798825,,0.0618201175
6734,0.5556,0.4966877912,,0.0589122088
6735,0.3951,0.4853534193,,0.0902534193
6736,0.4753,0.4961013919,,0.0208013919
6737,0.4877,0.4847141243,,0.0029858757
6738,0.5494,0.5280858751,,0.0213141249
6739,0.5494,0.5031467841,,0.0462532159
6740,0.5494,0.534639891,,0.014760109
6741,0.5432,0.4938830939,,0.0493169061
6742,0.6049,0.4957560734,,0.1091439266
6743,0.4753,0.4845835595,,0.0092835595
6744,0.4877,0.5204670404,,0.0327670404
6745,0.4691,0.5016927057,,0.0325927057
6746,0.5432,0.5065353538,,0.0366646462
6747,0.4691,0.4865981733,,0.0174981733
6748,0.5432,0.4928865464,,0.0503134536
6749,0.4321,0.4947930419,,0.0626930419
6750,0.4321,0.4920358976,,0.0599358976
6751,0.5802,0.4903411277,,0.0898588723
6752,0.4321,0.5004989072,,0.0683989072
6753,0.5802,0.4955679892,,0.0846320108
6754,0.4321,0.4959018462,,0.0638018462
6755,0.4753,0.4846218491,,0.0093218491
6756,0.4321,0.4954604707,,0.0633604707
6757,0.4753,0.4846153446,,0.0093153446
6758,0.4136,0.5108722515,,0.0972722515
6759,0.5802,0.5041786621,,0.0760213379
6760,0.6049,0.5018749766,,0.1030250234
6761,0.4691,0.4947829525,,0.0256829525
6762,0.5556,0.4863918396,,0.0692081604
6763,0.4383,0.4845333143,,0.0462333143
6764,0.5556,0.4860403637,,0.0695596363
6765,0.4383,0.4845236074,,0.0462236074
6766,0.5556,0.4864181559,,0.0691818441
6767,0.4383,0.4845340453,,0.0462340453
6768,0.5556,0.4873267702,,0.0682732298
6769,0.4383,0.4845092499,,0.0462092499
6770,0.5432,0.5058236468,,0.0373763532
6771,0.5802,0.5217297396,,0.0584702604
6772,0.5432,0.5110296308,,0.0321703692
6773,0.5247,0.503274303,,0.021425697
6774,0.6049,0.4887442577,,0.1161557423
6775,0.5494,0.5104334342,,0.0389665658
6776,0.5926,0.5009275033,,0.0916724967
6777,0.5556,0.5010983429,,0.0545016571
6778,0.5556,0.4957862382,,0.0598137618
6779,0.5556,0.4915963122,,0.0640036878
6780,0.4074,0.5030469729,,0.0956469729
6781,0.4074,0.5026834874,,0.0952834874
6782,0.4074,0.5017044526,,0.0943044526
6783,0.4691,0.4850161395,,0.0159161395
6784,0.4074,0.4957068621,,0.0883068621
6785,0.4074,0.4874927608,,0.0800927608
6786,0.4074,0.4882935087,,0.0808935087
6787,0.4074,0.4873132019,,0.0799132019
6788,0.5432,0.4872409998,,0.0559590002
6789,0.5185,0.5040333783,,0.0144666217
6790,0.4506,0.4978434472,,0.0472434472
6791,0.4506,0.486148753,,0.035548753
6792,0.5432,0.5583637786,,0.0151637786
6793,0.4877,0.5029583278,,0.0152583278
6794,0.4321,0.4905677007,,0.0584677007
6795,0.4136,0.4925444127,,0.0789444127
6796,0.5926,0.5089827103,,0.0836172897
6797,0.5926,0.4908906165,,0.1017093835
6798,0.4877,0.5313035639,,0.0436035639
6799,0.5432,0.5024338888,,0.0407661112
6800,0.4877,0.5364756428,,0.0487756428
6801,0.5432,0.5066521806,,0.0365478194
6802,0.5062,0.5202014687,,0.0140014687
6803,0.5556,0.5016058184,,0.0539941816
6804,0.5494,0.5024038265,,0.0469961735
6805,0.4506,0.488485309,,0.037885309
6806,0.5926,0.485809917,,0.106790083
6807,0.4506,0.485838041,,0.035238041
6808,0.5926,0.4849190002,,0.1076809998
6809,0.5432,0.4849682506,,0.0582317494
6810,0.4321,0.4910710515,,0.0589710515
6811,0.4321,0.4866062461,,0.0545062461
6812,0.4321,0.5065976609,,0.0744976609
6813,0.4321,0.4889464593,,0.0568464593
6814,0.4506,0.4954655821,,0.0448655821
6815,0.4877,0.4849324904,,0.0027675096
6816,0.4753,0.4851657374,,0.0098657374
6817,0.5123,0.5024003346,,0.0098996654
6818,0.6049,0.5524068471,,0.0524931529
6819,0.3951,0.495419495,,0.100319495
6820,0.4074,0.4854422491,,0.0780422491
6821,0.4383,0.4958691415,,0.0575691415
6822,0.4321,0.5038880702,,0.0717880702
6823,0.3951,0.4950067022,,0.0999067022
6824,0.4877,0.4903321574,,0.0026321574
6825,0.4691,0.4992846873,,0.0301846873
6826,0.4753,0.4865233063,,0.0112233063
6827,0.537,0.4903186309,,0.0466813691
6828,0.4753,0.4856773453,,0.0103773453
6829,0.537,0.4879878223,,0.0490121777
6830,0.5556,0.5092265929,,0.0463734071
6831,0.5556,0.498353876,,0.057246124
6832,0.5556,0.5011784642,,0.0544215358
6833,0.5556,0.4968175898,,0.0587824102
6834,0.4753,0.503294356,,0.027994356
6835,0.5926,0.4922296389,,0.1003703611
6836,0.4753,0.4846359993,,0.0093359993
6837,0.5926,0.508477002,,0.084122998
6838,0.6049,0.5050836518,,0.0998163482
6839,0.5123,0.4880977346,,0.0242022654
6840,0.5123,0.4894587208,,0.0228412792
6841,0.5123,0.4870508012,,0.0252491988
6842,0.4691,0.497202057,,0.028102057
6843,0.5247,0.4851739622,,0.0395260378
6844,0.4074,0.5294889796,,0.1220889796
6845,0.5123,0.4943913809,,0.0179086191
6846,0.4506,0.5113924672,,0.0607924672
6847,0.4753,0.5396223892,,0.0643223892
6848,0.4753,0.4874897927,,0.0121897927
6849,0.4753,0.4862794844,,0.0109794844
6850,0.5926,0.4851072661,,0.1074927339
6851,0.5432,0.486621694,,0.056578306
6852,0.5432,0.4849667409,,0.0582332591
6853,0.5802,0.4955330382,,0.0846669618
6854,0.4321,0.4894395913,,0.0573395913
6855,0.5432,0.5347537328,,0.0084462672
6856,0.5432,0.4998243383,,0.0433756617
6857,0.4383,0.4944566872,,0.0561566872
6858,0.4506,0.4844866124,,0.0338866124
6859,0.4383,0.5018050173,,0.0635050173
6860,0.4506,0.4844912408,,0.0338912408
6861,0.4877,0.4972274751,,0.0095274751
6862,0.4877,0.4877859787,,8.59786923450012E-005
6863,0.4321,0.5063319099,,0.0742319099
6864,0.4506,0.4949773013,,0.0443773013
6865,0.5494,0.4913651723,,0.0580348277
6866,0.4506,0.5049507629,,0.0543507629
6867,0.5494,0.4961588467,,0.0532411533
6868,0.4321,0.5455016213,,0.1134016213
6869,0.5123,0.5122496958,,5.03042418369404E-005
6870,0.4383,0.4845558197,,0.0462558197
6871,0.5185,0.4845962235,,0.0339037765
6872,0.4383,0.484554741,,0.046254741
6873,0.5185,0.4845945571,,0.0339054429
6874,0.4383,0.4845296787,,0.0462296787
6875,0.5185,0.4845558301,,0.0339441699
6876,0.4877,0.5245106261,,0.0368106261
6877,0.4877,0.5123863255,,0.0246863255
6878,0.4321,0.5073485289,,0.0752485289
6879,0.5494,0.4960452312,,0.0533547688
6880,0.5432,0.4886190822,,0.0545809178
6881,0.5432,0.5082664161,,0.0349335839
6882,0.5432,0.4876601309,,0.0555398691
6883,0.5062,0.5100196451,,0.0038196451
6884,0.4506,0.4851823218,,0.0345823218
6885,0.5432,0.4853727706,,0.0578272294
6886,0.4506,0.4866731355,,0.0360731355
6887,0.5432,0.4849651032,,0.0582348968
6888,0.4506,0.4958905117,,0.0452905117
6889,0.5432,0.4952515437,,0.0479484563
6890,0.5432,0.5195075004,,0.0236924996
6891,0.4753,0.505920707,,0.030620707
6892,0.5432,0.4852724021,,0.0579275979
6893,0.5432,0.4951408948,,0.0480591052
6894,0.5494,0.4909373439,,0.0584626561
6895,0.4753,0.4925339982,,0.0172339982
6896,0.4506,0.5232355572,,0.0726355572
6897,0.4877,0.4952053606,,0.0075053606
6898,0.4136,0.5000951614,,0.0864951614
6899,0.5802,0.5026147657,,0.0775852343
6900,0.537,0.4977790439,,0.0392209561
6901,0.5802,0.4868037497,,0.0933962503
6902,0.5556,0.4867086384,,0.0688913616
6903,0.5556,0.4877435962,,0.0678564038
6904,0.5556,0.4954727939,,0.0601272061
6905,0.5185,0.4904346779,,0.0280653221
6906,0.4691,0.4943284322,,0.0252284322
6907,0.4691,0.4844888658,,0.0153888658
6908,0.5123,0.528760027,,0.016460027
6909,0.5123,0.5227931435,,0.0104931435
6910,0.4753,0.4845838626,,0.0092838626
6911,0.4753,0.4848143717,,0.0095143717
6912,0.5494,0.5103188263,,0.0390811737
6913,0.4321,0.4898122989,,0.0577122989
6914,0.4321,0.4890175411,,0.0569175411
6915,0.4321,0.5018174673,,0.0697174673
6916,0.4321,0.4957425347,,0.0636425347
6917,0.4383,0.5195908511,,0.0812908511
6918,0.4753,0.4850172828,,0.0097172828
6919,0.5926,0.4852298573,,0.1073701427
6920,0.5926,0.4865768663,,0.1060231337
6921,0.5062,0.4871528802,,0.0190471198
6922,0.5802,0.5090504561,,0.0711495439
6923,0.5802,0.4917862809,,0.0884137191
6924,0.3951,0.4787945898,,0.0836945898
6925,0.3951,0.4886158467,,0.0935158467
6926,0.3951,0.4986590215,,0.1035590215
6927,0.4877,0.50047583,,0.01277583
6928,0.5062,0.4878883579,,0.0183116421
6929,0.4753,0.4844942639,,0.0091942639
6930,0.5062,0.4887713217,,0.0174286783
6931,0.4753,0.4863129541,,0.0110129541
6932,0.5062,0.4943631677,,0.0118368323
6933,0.4753,0.4862329094,,0.0109329094
6934,0.4877,0.4985014295,,0.0108014295
6935,0.5556,0.4944509144,,0.0611490856
6936,0.4877,0.4935342774,,0.0058342774
6937,0.4321,0.5064580516,,0.0743580516
6938,0.4877,0.4941199521,,0.0064199521
6939,0.4321,0.4929540206,,0.0608540206
6940,0.537,0.483483082,,0.053516918
6941,0.5802,0.484524349,,0.095675651
6942,0.4136,0.5084427289,,0.0948427289
6943,0.4321,0.4999105591,,0.0678105591
6944,0.4136,0.5027159511,,0.0891159511
6945,0.4753,0.4853678495,,0.0100678495
6946,0.4321,0.496344923,,0.064244923
6947,0.4136,0.4881818507,,0.0745818507
6948,0.4321,0.511044372,,0.078944372
6949,0.5062,0.4846217515,,0.0215782485
6950,0.5802,0.4848231243,,0.0953768757
6951,0.5062,0.4950748189,,0.0111251811
6952,0.5802,0.4880538921,,0.0921461079
6953,0.5802,0.4866776198,,0.0935223802
6954,0.5802,0.4997811652,,0.0804188348
6955,0.5802,0.4972196561,,0.0829803439
6956,0.4753,0.5198285972,,0.0445285972
6957,0.4136,0.4984545196,,0.0848545196
6958,0.5494,0.5072460055,,0.0421539945
6959,0.5926,0.4849379315,,0.1076620685
6960,0.5926,0.5034493126,,0.0891506874
6961,0.5926,0.4942773423,,0.0983226577
6962,0.5926,0.4917902246,,0.1008097754
6963,0.5926,0.5011488771,,0.0914511229
6964,0.5926,0.4919034958,,0.1006965042
6965,0.4074,0.4869834881,,0.0795834881
6966,0.4877,0.4879119518,,0.0002119518
6967,0.4877,0.4979376293,,0.0102376293
6968,0.4877,0.4888720159,,0.0011720159
6969,0.4321,0.4849064467,,0.0528064467
6970,0.4506,0.4896720616,,0.0390720616
6971,0.4877,0.4844876609,,0.0032123391
6972,0.4753,0.4863348397,,0.0110348397
6973,0.4321,0.4993925033,,0.0672925033
6974,0.5556,0.4983615841,,0.0572384159
6975,0.4753,0.5014786673,,0.0261786673
6976,0.4753,0.4901745612,,0.0148745612
6977,0.4753,0.4906600119,,0.0153600119
6978,0.4753,0.4978744106,,0.0225744106
6979,0.4753,0.4992028483,,0.0239028483
6980,0.4321,0.4895330027,,0.0574330027
6981,0.4506,0.5189866865,,0.0683866865
6982,0.4691,0.4853672499,,0.0162672499
6983,0.5432,0.5003148923,,0.0428851077
6984,0.5185,0.4993862249,,0.0191137751
6985,0.4691,0.4847237014,,0.0156237014
6986,0.5432,0.4925384426,,0.0506615574
6987,0.5185,0.4941240556,,0.0243759444
6988,0.4691,0.4828781052,,0.0137781052
6989,0.5432,0.5025541736,,0.0406458264
6990,0.5185,0.5195908511,,0.0010908511
6991,0.4753,0.4852982138,,0.0099982138
6992,0.5123,0.4920271559,,0.0202728441
6993,0.5123,0.4931577884,,0.0191422116
6994,0.4506,0.4867134255,,0.0361134255
6995,0.4506,0.4864085471,,0.0358085471
6996,0.5926,0.4901185486,,0.1024814514
6997,0.5926,0.4906811567,,0.1019188433
6998,0.5926,0.4878711134,,0.1047288866
6999,0.5926,0.4877342867,,0.1048657133
